measured matmul throughput: 6.39TFLOP/s
model: 11.02M params (10.62M non-embedding) | device mps | amp none
batch 32 x accum 1 x block 256 = 8.19K tokens/step
step   819 | loss 0.8005 | lr 7.18e-04 | gnorm  1.348 |    29.7k tok/s | mfu 32.3%
step   829 | loss 0.8150 | lr 7.11e-04 | gnorm  1.411 |    29.7k tok/s | mfu 32.3%
step   839 | loss 0.8408 | lr 7.04e-04 | gnorm  1.461 |    29.7k tok/s | mfu 32.3%
step   849 | loss 0.6760 | lr 6.97e-04 | gnorm  1.283 |    29.7k tok/s | mfu 32.4%
step   859 | loss 0.8221 | lr 6.90e-04 | gnorm  1.440 |    29.7k tok/s | mfu 32.3%
step   869 | loss 0.6399 | lr 6.83e-04 | gnorm  1.314 |    29.7k tok/s | mfu 32.3%
step   879 | loss 0.7495 | lr 6.76e-04 | gnorm  1.476 |    29.7k tok/s | mfu 32.3%
step   889 | loss 0.6649 | lr 6.68e-04 | gnorm  1.357 |    29.7k tok/s | mfu 32.4%
step   899 | loss 0.6673 | lr 6.61e-04 | gnorm  1.389 |    29.6k tok/s | mfu 32.3%
step   909 | loss 0.5972 | lr 6.54e-04 | gnorm  1.308 |    29.7k tok/s | mfu 32.3%
step   919 | loss 0.5475 | lr 6.47e-04 | gnorm  1.253 |    29.6k tok/s | mfu 32.3%
step   929 | loss 0.5871 | lr 6.39e-04 | gnorm  1.300 |    29.6k tok/s | mfu 32.3%
step   939 | loss 0.4916 | lr 6.32e-04 | gnorm  1.191 |    29.8k tok/s | mfu 32.4%
step   949 | loss 0.5293 | lr 6.25e-04 | gnorm  1.293 |    29.7k tok/s | mfu 32.4%
step   959 | loss 0.5054 | lr 6.17e-04 | gnorm  1.251 |    29.6k tok/s | mfu 32.3%
step   969 | loss 0.4708 | lr 6.10e-04 | gnorm  1.245 |    29.7k tok/s | mfu 32.4%
step   979 | loss 0.5241 | lr 6.03e-04 | gnorm  1.333 |    29.7k tok/s | mfu 32.3%
step   989 | loss 0.4607 | lr 5.95e-04 | gnorm  1.239 |    29.6k tok/s | mfu 32.3%
