measured matmul throughput: 6.35TFLOP/s
model: 984.32K params (853.12K non-embedding) | device mps | amp none
batch 32 x accum 1 x block 256 = 8.19K tokens/step
step     0 | loss 6.9236 | lr 1.00e-05 | gnorm  1.283 |    21.8k tok/s | mfu  2.3%
step   969 | loss 2.9927 | lr 3.83e-04 | gnorm  0.667 |   122.5k tok/s | mfu 12.9%
step   979 | loss 3.0414 | lr 3.74e-04 | gnorm  0.696 |   121.1k tok/s | mfu 12.7%
step   989 | loss 3.1410 | lr 3.65e-04 | gnorm  0.674 |   123.9k tok/s | mfu 13.0%
step   999 | loss 3.0259 | lr 3.56e-04 | gnorm  0.660 |   123.2k tok/s | mfu 13.0%
  eval @ 1000: val_loss 3.2898 ppl 26.84
step  1009 | loss 3.1045 | lr 3.47e-04 | gnorm  0.688 |   123.4k tok/s | mfu 13.0%
step  1019 | loss 3.0479 | lr 3.38e-04 | gnorm  0.666 |   123.1k tok/s | mfu 13.0%
step  1029 | loss 3.0307 | lr 3.29e-04 | gnorm  0.666 |   124.0k tok/s | mfu 13.0%
step  1039 | loss 3.0838 | lr 3.20e-04 | gnorm  0.671 |   123.2k tok/s | mfu 13.0%
step  1049 | loss 3.0983 | lr 3.11e-04 | gnorm  0.673 |   124.1k tok/s | mfu 13.1%
step  1059 | loss 3.0099 | lr 3.03e-04 | gnorm  0.667 |   123.8k tok/s | mfu 13.0%
step  1069 | loss 3.0158 | lr 2.95e-04 | gnorm  0.670 |   123.2k tok/s | mfu 13.0%
step  1079 | loss 3.0106 | lr 2.86e-04 | gnorm  0.694 |   123.9k tok/s | mfu 13.0%
step  1089 | loss 3.0652 | lr 2.78e-04 | gnorm  0.662 |   122.9k tok/s | mfu 12.9%
step  1099 | loss 2.9646 | lr 2.70e-04 | gnorm  0.663 |   123.1k tok/s | mfu 13.0%
  eval @ 1100: val_loss 3.2796 ppl 26.56
step  1109 | loss 2.9402 | lr 2.62e-04 | gnorm  0.675 |   122.4k tok/s | mfu 12.9%
step  1119 | loss 2.9954 | lr 2.55e-04 | gnorm  0.670 |   124.1k tok/s | mfu 13.1%
step  1129 | loss 3.0195 | lr 2.47e-04 | gnorm  0.664 |   123.7k tok/s | mfu 13.0%
step  1139 | loss 2.9772 | lr 2.40e-04 | gnorm  0.680 |   123.7k tok/s | mfu 13.0%
step  1149 | loss 3.0137 | lr 2.33e-04 | gnorm  0.654 |   124.0k tok/s | mfu 13.1%
step  1159 | loss 3.0471 | lr 2.25e-04 | gnorm  0.662 |   122.7k tok/s | mfu 12.9%
step  1169 | loss 3.0637 | lr 2.19e-04 | gnorm  0.656 |   124.1k tok/s | mfu 13.1%
step  1179 | loss 3.0558 | lr 2.12e-04 | gnorm  0.678 |   124.0k tok/s | mfu 13.1%
step  1189 | loss 3.0619 | lr 2.05e-04 | gnorm  0.664 |   123.0k tok/s | mfu 12.9%
step  1199 | loss 3.0405 | lr 1.99e-04 | gnorm  0.678 |   124.1k tok/s | mfu 13.1%
  eval @ 1200: val_loss 3.2548 ppl 25.92
step  1209 | loss 2.9781 | lr 1.93e-04 | gnorm  0.686 |   123.1k tok/s | mfu 13.0%
step  1219 | loss 2.9718 | lr 1.87e-04 | gnorm  0.671 |   124.2k tok/s | mfu 13.1%
step  1229 | loss 2.9876 | lr 1.81e-04 | gnorm  0.675 |   123.3k tok/s | mfu 13.0%
step  1239 | loss 2.9071 | lr 1.75e-04 | gnorm  0.662 |   124.0k tok/s | mfu 13.1%
step  1249 | loss 2.9620 | lr 1.70e-04 | gnorm  0.663 |   123.0k tok/s | mfu 12.9%
step  1259 | loss 2.9991 | lr 1.64e-04 | gnorm  0.685 |   122.9k tok/s | mfu 12.9%
step  1269 | loss 3.0849 | lr 1.59e-04 | gnorm  0.688 |   116.5k tok/s | mfu 12.3%
step  1279 | loss 2.9893 | lr 1.54e-04 | gnorm  0.698 |   122.9k tok/s | mfu 12.9%
step  1289 | loss 3.0262 | lr 1.50e-04 | gnorm  0.677 |   123.5k tok/s | mfu 13.0%
step  1299 | loss 2.9725 | lr 1.45e-04 | gnorm  0.715 |   124.1k tok/s | mfu 13.1%
  eval @ 1300: val_loss 3.2541 ppl 25.90
step  1309 | loss 2.9955 | lr 1.41e-04 | gnorm  0.669 |   123.1k tok/s | mfu 13.0%
step  1319 | loss 2.9829 | lr 1.37e-04 | gnorm  0.688 |   123.1k tok/s | mfu 13.0%
step  1329 | loss 2.9980 | lr 1.33e-04 | gnorm  0.708 |   123.1k tok/s | mfu 13.0%
step  1339 | loss 2.9519 | lr 1.29e-04 | gnorm  0.681 |   123.4k tok/s | mfu 13.0%
step  1349 | loss 2.9411 | lr 1.26e-04 | gnorm  0.676 |   123.8k tok/s | mfu 13.0%
step  1359 | loss 3.0483 | lr 1.22e-04 | gnorm  0.691 |   122.7k tok/s | mfu 12.9%
step  1369 | loss 2.9242 | lr 1.19e-04 | gnorm  0.692 |   122.4k tok/s | mfu 12.9%
step  1379 | loss 2.9970 | lr 1.16e-04 | gnorm  0.679 |   108.7k tok/s | mfu 11.4%
step  1389 | loss 3.0008 | lr 1.14e-04 | gnorm  0.675 |   122.0k tok/s | mfu 12.8%
step  1399 | loss 3.0195 | lr 1.12e-04 | gnorm  0.689 |   123.9k tok/s | mfu 13.0%
  eval @ 1400: val_loss 3.2473 ppl 25.72
step  1409 | loss 3.0157 | lr 1.09e-04 | gnorm  0.683 |   122.7k tok/s | mfu 12.9%
step  1419 | loss 2.9571 | lr 1.07e-04 | gnorm  0.682 |   124.0k tok/s | mfu 13.1%
step  1429 | loss 3.0134 | lr 1.06e-04 | gnorm  0.680 |   122.7k tok/s | mfu 12.9%
step  1439 | loss 3.0771 | lr 1.04e-04 | gnorm  0.689 |   124.0k tok/s | mfu 13.1%
step  1449 | loss 3.0384 | lr 1.03e-04 | gnorm  0.703 |   122.4k tok/s | mfu 12.9%
step  1459 | loss 2.8703 | lr 1.02e-04 | gnorm  0.684 |   121.9k tok/s | mfu 12.8%
step  1469 | loss 2.8855 | lr 1.01e-04 | gnorm  0.671 |   123.0k tok/s | mfu 12.9%
step  1479 | loss 3.0792 | lr 1.00e-04 | gnorm  0.693 |   123.4k tok/s | mfu 13.0%
step  1489 | loss 2.8504 | lr 1.00e-04 | gnorm  0.695 |   122.9k tok/s | mfu 12.9%
step  1499 | loss 3.0180 | lr 1.00e-04 | gnorm  0.715 |   123.1k tok/s | mfu 13.0%
  eval @ 1500: val_loss 3.2433 ppl 25.62
BEST 3.2433498116487955
